experiment,design,status,failure_type,bitstream,xsa,wns_ns,fmax_mhz,safe_clock_mhz,power_w,lut,ff,bram,dsp,artifact_dir,notes
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_2epoch_b2_balanced,pass,,True,True,0.702,232.666,211.494,2.358,34024,43149,59,109,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_2epoch_b2_balanced,
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b2_balanced,pass,,True,True,0.702,232.666,211.494,2.358,34024,43149,59,109,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b2_balanced,
experiments/sprint13f_training_multi_epoch_convergence_v3,training_cnn_stream_converge_3epoch_b4_balanced,pass,,True,True,0.702,232.666,211.494,2.358,34024,43149,59,109,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b4_balanced,
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_1,pass,,True,True,0.73,234.192,212.881,2.259,32768,43188,54,51,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_1,
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_2,pass,,True,True,0.702,232.666,211.494,2.358,34024,43149,59,109,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_2,
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_4,timing_fail,timing_fail,False,False,-4.729,102.785,93.432,2.678,,60668,73,220,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_4,missing: lut
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx12_like,pass,,True,True,0.716,233.427,212.185,2.165,25569,33699,17,70,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx12_like,
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx16_like,pass,,True,True,0.52,223.214,202.902,2.323,32089,41304,49,127,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx16_like,
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx8_like,pass,,True,True,1.269,268.025,243.634,2.094,21738,29374,35,64,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx8_like,
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_aggressive_strict,pass,,True,True,0.702,232.666,211.494,2.358,34024,43149,59,109,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_aggressive_strict,
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,pass,,True,True,0.773,236.574,215.046,2.333,34935,46048,59,93,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_balanced_strict,
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,pass,,True,True,0.945,246.609,224.168,2.278,34085,45473,55,72,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_conservative_strict,
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,pass,,True,True,0.253,210.659,191.489,2.184,29199,20834,9,53,experiments/sprint15e_parallel_feasible_envelope/artifacts/hw_parallel_1_feasible,
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_feasible,timing_fail,timing_fail,True,True,-0.47,182.815,166.179,2.291,31808,22415,15,96,experiments/sprint15e_parallel_feasible_envelope/artifacts/hw_parallel_2_feasible,
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_2_relaxed_180mhz,timing_fail,timing_fail,True,True,-0.124,195.16,177.4,2.289,31701,22415,15,96,experiments/sprint15e_parallel_feasible_envelope/artifacts/hw_parallel_2_relaxed_180mhz,
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_3_candidate,timing_fail,timing_fail,False,False,-9.347,69.701,63.358,3.552,,40572,63,172,experiments/sprint15e_parallel_feasible_envelope/artifacts/hw_parallel_3_candidate,missing: lut
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_4_expected_resource_fail,timing_fail,timing_fail,False,False,-9.123,70.806,64.363,2.397,,29912,71,220,experiments/sprint15e_parallel_feasible_envelope/artifacts/hw_parallel_4_expected_resource_fail,missing: lut
