design,status,usable_prediction_count,pred_lut,vivado_lut,lut_abs_error_pct,pred_ff,vivado_ff,ff_abs_error_pct,pred_bram,vivado_bram,bram_abs_error_pct,pred_dsp,vivado_dsp,dsp_abs_error_pct,estimator_source,notes,lut_prediction_source,lut_prediction_key,lut_prediction_reason,ff_prediction_source,ff_prediction_key,ff_prediction_reason,bram_prediction_source,bram_prediction_key,bram_prediction_reason,dsp_prediction_source,dsp_prediction_key,dsp_prediction_reason
training_cnn_stream_converge_2epoch_b2_balanced,pass,1,,34024.0,,,43149.0,,2.0,59.0,96.61016949152543,,109.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_2epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
training_cnn_stream_converge_3epoch_b2_balanced,pass,1,,34024.0,,,43149.0,,2.0,59.0,96.61016949152543,,109.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b2_balanced/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
training_cnn_stream_converge_3epoch_b4_balanced,pass,1,,34024.0,,,43149.0,,2.0,59.0,96.61016949152543,,109.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint13f_training_multi_epoch_convergence_v3/artifacts/training_cnn_stream_converge_3epoch_b4_balanced/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_parallel_1,pass,0,,32768.0,,,43188.0,,,54.0,,,51.0,,,lut:placeholder_prediction_1;ff:placeholder_prediction_1;bram:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_1/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_1/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_1/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_1/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_parallel_2,pass,1,,34024.0,,,43149.0,,2.0,59.0,96.61016949152543,,109.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_2/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_2/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_2/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_2/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_parallel_4,timing_fail,1,,,,,60668.0,,10.0,73.0,86.3013698630137,,220.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_4/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_4/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_4/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_parallel_4/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_prec_fx12_like,pass,0,,25569.0,,,33699.0,,,17.0,,,70.0,,,lut:placeholder_prediction_1;ff:placeholder_prediction_1;bram:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx12_like/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx12_like/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx12_like/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx12_like/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_prec_fx16_like,pass,1,,32089.0,,,41304.0,,2.0,49.0,95.91836734693877,,127.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx16_like/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx16_like/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx16_like/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx16_like/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_prec_fx8_like,pass,0,,21738.0,,,29374.0,,,35.0,,,64.0,,,lut:placeholder_prediction_1;ff:placeholder_prediction_1;bram:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx8_like/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx8_like/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx8_like/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,placeholder_prediction_1,experiments/sprint15a_hardware_knob_validation_parallel/artifacts/hw_prec_fx8_like/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
hw_pipeline_aggressive_strict,pass,1,,34024.0,,,43149.0,,2.0,59.0,96.61016949152543,,109.0,,bram:tiling_resource_estimate.json:layers[0].estimated_bram18,lut:placeholder_prediction_1;ff:placeholder_prediction_1;dsp:placeholder_prediction_1,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_aggressive_strict/build/calibration/estimate_vs_hls.json,model.global.lut,placeholder_prediction_1,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_aggressive_strict/build/calibration/estimate_vs_hls.json,model.global.ff,placeholder_prediction_1,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_aggressive_strict/build/hls/reports/tiling_resource_estimate.json,layers[0].estimated_bram18,,experiments/sprint15c_pipeline_policy_strengthened/artifacts/hw_pipeline_aggressive_strict/build/calibration/estimate_vs_hls.json,model.global.dsp,placeholder_prediction_1
