experiment,design,mode,precision,input_elements,raw_bytes,transfer_bytes,dma_words_32b,compression_ratio_vs_raw,assumed_sparsity,pack_time_us,latency_cycles,lut,ff,bram,dsp,evidence_source,notes
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_1,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,32768,43188,54,51,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_1,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,32768,43188,54,51,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_1,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,32768,43188,54,51,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_2,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_2,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_2,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_4,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,,60668,73,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_4,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,,60668,73,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_parallel_4,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,,60668,73,220,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx12_like,raw_fp32,fx12_like,784,3136,3136,784,1.0,,,,25569,33699,17,70,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx12_like,precision_packed,fx12_like,784,3136,1176,294,2.6667,,,,25569,33699,17,70,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx12_like,zero_run_length_sparse,fx12_like,784,3136,312,78,10.0513,0.9,,,25569,33699,17,70,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx16_like,raw_fp32,fx16_like,784,3136,3136,784,1.0,,,,32089,41304,49,127,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx16_like,precision_packed,fx16_like,784,3136,1568,392,2.0,,,,32089,41304,49,127,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx16_like,zero_run_length_sparse,fx16_like,784,3136,312,78,10.0513,0.9,,,32089,41304,49,127,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx8_like,raw_fp32,fx8_like,784,3136,3136,784,1.0,,,,21738,29374,35,64,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx8_like,precision_packed,fx8_like,784,3136,784,196,4.0,,,,21738,29374,35,64,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15a_hardware_knob_validation_parallel,hw_prec_fx8_like,zero_run_length_sparse,fx8_like,784,3136,312,78,10.0513,0.9,,,21738,29374,35,64,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_aggressive_strict,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_aggressive_strict,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_aggressive_strict,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34024,43149,59,109,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34935,46048,59,93,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34935,46048,59,93,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_balanced_strict,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34935,46048,59,93,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
experiments/sprint15c_pipeline_policy_strengthened,hw_pipeline_conservative_strict,zero_run_length_sparse,fixed_point,784,3136,312,78,10.0513,0.9,,,34085,45473,55,72,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_zrl_sparse_input_sparsity_0.9
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,raw_fp32,fixed_point,784,3136,3136,784,1.0,,,,29199,20834,9,53,fallback:mnist_28x28,fallback_assumption_mnist_input_784;baseline_32bit_float_transfer
experiments/sprint15e_parallel_feasible_envelope,hw_parallel_1_feasible,precision_packed,fixed_point,784,3136,1568,392,2.0,,,,29199,20834,9,53,fallback:mnist_28x28,fallback_assumption_mnist_input_784;modeled_precision_packing
