order	id	status	log
00	I0_baseline_fx16_embedded	0	paper_results/experiment_setup/compile_logs/00_I0_baseline_fx16_embedded.log
01	I1_precision_fx8_embedded	0	paper_results/experiment_setup/compile_logs/01_I1_precision_fx8_embedded.log
02	I2_precision_fx24_embedded	0	paper_results/experiment_setup/compile_logs/02_I2_precision_fx24_embedded.log
03	I3_parallel_pe2	0	paper_results/experiment_setup/compile_logs/03_I3_parallel_pe2.log
04	I4_parallel_pe4	0	paper_results/experiment_setup/compile_logs/04_I4_parallel_pe4.log
05	I5_pipeline_latency_first	0	paper_results/experiment_setup/compile_logs/05_I5_pipeline_latency_first.log
06	I6_pipeline_resource_first	0	paper_results/experiment_setup/compile_logs/06_I6_pipeline_resource_first.log
07	I7_weight_import_m_axi	0	paper_results/experiment_setup/compile_logs/07_I7_weight_import_m_axi.log
08	I8_deployable_bitstream_candidate	0	paper_results/experiment_setup/compile_logs/08_I8_deployable_bitstream_candidate.log
09	I9_board_runtime_candidate	0	paper_results/experiment_setup/compile_logs/09_I9_board_runtime_candidate.log
10	T0_sgd_tiled_m_axi	0	paper_results/experiment_setup/compile_logs/10_T0_sgd_tiled_m_axi.log
11	T1_momentum_tiled_m_axi	0	paper_results/experiment_setup/compile_logs/11_T1_momentum_tiled_m_axi.log
12	T2_adam_tiled_m_axi	0	paper_results/experiment_setup/compile_logs/12_T2_adam_tiled_m_axi.log
13	T3_cross_entropy_tiled_m_axi	0	paper_results/experiment_setup/compile_logs/13_T3_cross_entropy_tiled_m_axi.log
14	T4_tile32_m_axi	0	paper_results/experiment_setup/compile_logs/14_T4_tile32_m_axi.log
15	T5_tile128_m_axi	0	paper_results/experiment_setup/compile_logs/15_T5_tile128_m_axi.log
16	T6_accum_batch2_m_axi	0	paper_results/experiment_setup/compile_logs/16_T6_accum_batch2_m_axi.log
17	T7_deployable_training_bitstream	0	paper_results/experiment_setup/compile_logs/17_T7_deployable_training_bitstream.log
18	T8_real_fpga_training_curve_candidate	0	paper_results/experiment_setup/compile_logs/18_T8_real_fpga_training_curve_candidate.log
