section,design_id,vivado_status,vivado_lut,vivado_dsp,vivado_bram,vivado_wns,vivado_power_w
inference,I0_baseline_fx16_embedded,passed,12708,5,62.5,2.579,2.842
inference,I1_precision_fx8_embedded,passed,8019,4,21,1.854,2.786
inference,I2_precision_fx24_embedded,passed,16801,13,84,0.649,2.88
inference,I3_parallel_pe2,passed,39702,12,71,0.614,2.924
inference,I4_parallel_pe4,passed,41233,38,91,2.402,2.996
inference,I5_pipeline_latency_first,passed,44323,8,64,0.37,2.972
inference,I6_pipeline_resource_first,passed,12708,5,62.5,2.579,2.842
inference,I7_weight_import_m_axi,passed,22251,5,71,0.722,2.895
inference,I8_deployable_bitstream_candidate,passed,12708,5,62.5,2.579,2.842
inference,I9_board_runtime_candidate,passed,12708,5,62.5,2.579,2.842
training,T0_sgd_tiled_m_axi,passed,29370,15,17.5,2.896,2.941
training,T1_momentum_tiled_m_axi,passed,29370,15,17.5,2.896,2.941
training,T2_adam_tiled_m_axi,passed,30563,15,18,3.198,2.93
training,T3_cross_entropy_tiled_m_axi,passed,34727,44,17.5,2.225,3.007
training,T4_tile32_m_axi,passed,28989,15,17.5,3.115,2.925
training,T5_tile128_m_axi,passed,29818,15,17.5,3.259,2.951
training,T6_accum_batch2_m_axi,passed,29370,15,17.5,2.896,2.941
training,T7_deployable_training_bitstream,passed,29370,15,17.5,2.896,2.941
training,T8_real_fpga_training_curve_candidate,passed,29370,15,17.5,2.896,2.941
